,county_name,gender,gender_display,administered_count,administered_count_display,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
0,Cumberland,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00016846361185983828,0.00032362459546925567
1,Cumberland,Female,Female,3312,3312,0,1708,1708,2021-07-12,0.5579514824797843,0.5527508090614887
2,Cumberland,Male,Male,2615,2615,0,1378,1378,2021-07-12,0.4405323450134771,0.4459546925566343
0,Gallatin,Female,Female,1789,1789,0,922,922,2021-07-12,0.5647095959595959,0.5608272506082725
1,Gallatin,Male,Male,1379,1379,0,722,722,2021-07-12,0.43529040404040403,0.4391727493917275
0,Perry,Male,Male,7095,7095,0,3556,3556,2021-07-12,0.4950115118956255,0.4916355592423614
1,Perry,Unknown,Unknown,16,16,0,11,11,2021-07-12,0.001116305030349543,0.0015208074104797456
2,Perry,Female,Female,7220,7220,0,3665,3665,2021-07-12,0.5037326449452313,0.5067053781280243
0,Richland,Unknown,Unknown,18,18,0,1,<10,2021-07-12,0.001784121320249777,0.00019249278152069297
1,Richland,Female,Female,5649,5649,0,2887,2887,2021-07-12,0.5599167410050551,0.5557266602502406
2,Richland,Male,Male,4422,4422,0,2299,2299,2021-07-12,0.4382991376746952,0.44254090471607316
0,Williamson,Female,Female,26216,26216,0,13452,13452,2021-07-12,0.5636152556219632,0.5602665556018326
1,Williamson,Unknown,Unknown,86,86,0,56,56,2021-07-12,0.0018489057058090038,0.0023323615160349854
2,Williamson,Male,Male,20212,20212,0,10502,10502,2021-07-12,0.4345358386722277,0.4374010828821324
0,Kendall,Unknown,Unknown,364,364,0,172,172,2021-07-12,0.0027615507169410514,0.0026885922405977427
1,Kendall,Female,Female,71090,71090,0,34474,34474,2021-07-12,0.5393369243608224,0.5388751680370151
2,Kendall,Other,Other,1,<10,0,1,<10,2021-07-12,7.5866777937940976e-06,1.563135023603339e-05
3,Kendall,Male,Male,60348,60348,0,29323,29323,2021-07-12,0.4578408314998862,0.45835808297120706
0,St. Clair,Female,Female,118964,118964,0,58981,58981,2021-07-12,0.5539134888485356,0.5522307008098872
1,St. Clair,Unknown,Unknown,121,121,0,61,61,2021-07-12,0.0005633933975881175,0.0005711343101914704
2,St. Clair,Male,Male,95683,95683,0,47762,47762,2021-07-12,0.4455138054663128,0.4471888020223772
