date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2021-05-16,Perry,10,18123,10,5,0,15,5,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Pike,10,18125,19,46,0,65,46,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Porter,1,18127,209,661,16,886,677,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Pulaski,2,18131,1,1,1,3,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Lagrange,3,18087,3,1,4,8,5,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Dubois,10,18037,54,154,14,222,168,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Delaware,6,18035,131,123,6,260,129,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Daviess,10,18027,12,5,2,19,7,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Crawford,10,18025,15,50,1,66,51,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Clinton,4,18023,25,28,3,56,31,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Clay,7,18021,28,20,8,56,28,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Clark,9,18019,129,102,46,277,148,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Cass,4,18017,66,88,0,154,88,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Decatur,9,18031,42,20,3,65,23,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Carroll,4,18015,16,107,2,125,109,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Boone,5,18011,213,130,17,360,147,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Blackford,6,18009,16,42,1,59,43,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Benton,4,18007,11,8,0,19,8,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Bartholomew,8,18005,198,212,10,420,222,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Allen,3,18003,686,1234,68,1988,1302,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Adams,3,18001,23,15,4,42,19,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Brown,8,18013,18,22,4,44,26,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,De Kalb,3,18033,48,197,7,252,204,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Dearborn,9,18029,34,24,15,73,39,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Vanderburgh,10,18163,315,221,6,542,227,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Spencer,10,18147,8,14,2,24,16,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Shelby,5,18145,51,109,12,172,121,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Scott,9,18143,29,48,4,81,52,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Rush,6,18139,21,20,4,45,24,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Ripley,9,18137,13,18,11,42,29,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Putnam,7,18133,23,56,13,92,69,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-17,Pulaski,2,18131,11,5,2,18,7,0,0,0,0,0,0,0,2022-01-11 05:00:00
