county_name,gender,gender_display,administered_count,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
Macoupin,Other,Other,2,0,1,<10,2021-06-15,5.804841237592152e-05,5.842486562280907e-05
Macoupin,Female,Female,19069,0,9434,9434,2021-06-15,0.5534625877982238,0.5511801822855807
Macoupin,Male,Male,15360,0,7669,7669,2021-06-15,0.44581180704707724,0.44806029446132273
Macoupin,Unknown,Unknown,23,0,12,12,2021-06-15,0.0006675567423230974,0.0007010983874737088
Coles,Male,Male,13535,0,6988,6988,2021-06-15,0.4357273927180247,0.44113376680765104
Coles,Unknown,Unknown,41,0,26,26,2021-06-15,0.001319898271255191,0.0016413105233255476
Coles,Female,Female,17487,0,8827,8827,2021-06-15,0.5629527090107201,0.5572249226690235
Washington,Unknown,Unknown,27,0,20,20,2021-06-15,0.002559969659618849,0.00362844702467344
Washington,Male,Male,4793,0,2532,2532,2021-06-15,0.4544420214278942,0.4593613933236575
Washington,Female,Female,5727,0,2960,2960,2021-06-15,0.542998008912487,0.5370101596516691
Iroquois,Unknown,Unknown,26,0,13,13,2021-06-15,0.0014629754670267836,0.0014489522960321
Iroquois,Female,Female,9856,0,4933,4933,2021-06-15,0.5545802385775377,0.5498216674097192
Iroquois,Male,Male,7890,0,4026,4026,2021-06-15,0.44395678595543553,0.44872938029424875
Saline,Unknown,Unknown,22,0,11,11,2021-06-15,0.001546681664791901,0.0014886994180538639
Saline,Female,Female,8056,0,4159,4159,2021-06-15,0.5663667041619798,0.5628637163350927
Saline,Male,Male,6146,0,3219,3219,2021-06-15,0.43208661417322836,0.4356475842468534
Hardin,Female,Female,1110,0,547,547,2021-06-15,0.5787278415015641,0.582534611288605
Hardin,Male,Male,808,0,392,392,2021-06-15,0.42127215849843586,0.4174653887113951
McDonough,Female,Female,11376,0,5833,5833,2021-06-15,0.5475285171102662,0.5437680618998788
McDonough,Male,Male,9337,0,4860,4860,2021-06-15,0.4493911536795495,0.4530623659923557
McDonough,Unknown,Unknown,60,0,32,32,2021-06-15,0.0028878086345478175,0.0029831266896616017
Mercer,Female,Female,6899,0,3430,3430,2021-06-15,0.5463688920567039,0.5445308779171297
Mercer,Unknown,Unknown,11,0,1,<10,2021-06-15,0.0008711491248911063,0.00015875535799333228
Mercer,Other,Other,4,0,1,<10,2021-06-15,0.0003167814999604023,0.00015875535799333228
Mercer,Male,Male,5713,0,2861,2861,2021-06-15,0.4524431773184446,0.45419907921892366
Jasper,Female,Female,3221,0,1587,1587,2021-06-15,0.548628853687617,0.5457359009628611
Jasper,Unknown,Unknown,15,0,1,<10,2021-06-15,0.0025549310168625446,0.000343878954607978
Jasper,Male,Male,2634,0,1314,1314,2021-06-15,0.44864588656106286,0.4518569463548831
Henry,Unknown,Unknown,64,0,26,26,2021-06-15,0.0015580115877111835,0.001276574851475426
Henry,Other,Other,4,0,1,<10,2021-06-15,9.737572423194897e-05,4.909903274905484e-05
Henry,Female,Female,22678,0,11198,11198,2021-06-15,0.5520716685330347,0.5498109687239161
Henry,Male,Male,18332,0,9141,9141,2021-06-15,0.44627294415502217,0.4488142583591103
Clay,Male,Male,3130,0,1620,1620,2021-06-15,0.45620171986590874,0.4580152671755725
Clay,Unknown,Unknown,4,0,1,<10,2021-06-15,0.0005830053927998834,0.0002827254735651682
Clay,Female,Female,3727,0,1915,1915,2021-06-15,0.5432152747412914,0.5414192818772972
Logan,Female,Female,12134,0,6291,6291,2021-06-15,0.560384242368263,0.5568735062405948
Logan,Other,Other,1,0,1,<10,2021-06-15,4.6182976954694497e-05,8.851907586084801e-05
Logan,Unknown,Unknown,123,0,60,60,2021-06-15,0.005680506165427424,0.005311144551650881
Logan,Male,Male,9394,0,4946,4946,2021-06-15,0.43384288551240013,0.4378153492077543
Cumberland,Male,Male,2542,0,1333,1333,2021-06-15,0.44285714285714284,0.44957841483979766
Cumberland,Female,Female,3189,0,1628,1628,2021-06-15,0.555574912891986,0.5490725126475549
Cumberland,Unknown,Unknown,9,0,1,<10,2021-06-15,0.0015679442508710801,0.0003372681281618887
Gallatin,Female,Female,1710,0,876,876,2021-06-15,0.5634266886326195,0.559029993618379
Gallatin,Male,Male,1325,0,691,691,2021-06-15,0.43657331136738053,0.4409700063816209
Perry,Male,Male,6874,0,3416,3416,2021-06-15,0.4971073184842349,0.49421296296296297
Perry,Female,Female,6936,0,3484,3484,2021-06-15,0.5015909748336708,0.5040509259259259
Perry,Unknown,Unknown,16,0,11,11,2021-06-15,0.0011570726063060456,0.001591435185185185
Richland,Female,Female,5439,0,2759,2759,2021-06-15,0.5584762295923607,0.5552425035218354
Richland,Unknown,Unknown,18,0,1,<10,2021-06-15,0.0018482390389156997,0.0002012477359629704
