first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated
4792,5868,653,11313,6521,0,2,0,2,2
3961,4508,517,8986,5025,0,0,0,0,0
3819,4891,527,9237,5418,0,0,0,0,0
2018,2397,190,4605,2587,0,0,0,0,0
263,284,36,583,320,0,0,0,0,0
2575,3248,286,6109,3534,0,0,0,0,0
3868,5958,535,10361,6493,0,0,0,0,0
4187,5352,537,10076,5889,0,1,0,1,1
3840,4840,578,9258,5418,0,0,0,0,0
4250,4997,590,9837,5587,0,0,0,0,0
3567,3554,264,7385,3818,0,0,0,0,0
1693,1525,80,3298,1605,0,0,0,0,0
4297,4475,600,9372,5075,0,4,0,4,4
4025,4357,415,8797,4772,0,1,0,1,1
4169,4375,414,8958,4789,0,0,2,2,2
4083,3873,389,8345,4262,0,0,0,0,0
5086,4548,456,10090,5004,0,0,0,0,0
3296,2887,225,6408,3112,0,0,0,0,0
1865,1495,69,3429,1564,0,0,0,0,0
5321,4345,489,10155,4834,0,0,0,0,0
5303,4047,510,9860,4557,0,0,0,0,0
5470,4521,489,10480,5010,0,0,0,0,0
5518,3797,578,9893,4375,0,0,0,0,0
6676,4077,457,11210,4534,0,0,0,0,0
4505,2561,279,7345,2840,1,0,0,1,0
2508,835,68,3411,903,0,0,0,0,0
6416,3243,475,10134,3718,0,0,0,0,0
6409,3886,544,10839,4430,0,1,0,1,1
6536,3934,541,11011,4475,1,0,1,2,1
6555,3476,545,10576,4021,0,0,0,0,0
7526,4078,698,12302,4776,0,0,0,0,0
5095,3351,348,8794,3699,0,0,0,0,0
3179,1531,92,4802,1623,1,0,1,2,1
7044,3796,626,11466,4422,0,0,0,0,0
7235,3653,600,11488,4253,0,0,0,0,0
6867,3699,538,11104,4237,0,0,0,0,0
6754,3662,644,11060,4306,0,0,0,0,0
8149,4665,635,13449,5300,0,0,0,0,0
5640,3226,290,9156,3516,0,1,0,1,1
3292,1806,99,5197,1905,0,0,0,0,0
6895,4297,548,11740,4845,0,0,0,0,0
6547,4447,551,11545,4998,3,2,0,5,2
6059,4090,557,10706,4647,0,0,0,0,0
5887,4069,560,10516,4629,0,0,0,0,0
7303,5689,547,13676,6236,1,1,0,2,1
5262,4104,310,10137,4414,0,1,0,1,1
2986,2179,95,5645,2274,0,0,0,0,0
6182,5218,699,13199,5917,0,0,0,0,0
6598,5025,931,13915,5956,0,1,0,1,1
6385,5145,831,13943,5976,0,0,0,0,0
6199,4950,829,13388,5779,1,1,0,2,1
7761,6490,704,16334,7194,0,0,0,0,0
4859,4627,340,10498,4967,1,1,0,2,1
2918,2816,64,6131,2880,0,0,0,1,0
6576,5746,531,14061,6277,1,0,0,1,0
6984,5681,620,14517,6301,0,0,0,0,0
7035,5584,598,14496,6182,0,0,0,0,0
6758,5341,621,13994,5962,1,0,0,1,0
8239,7101,616,17333,7717,0,0,0,0,0
5316,5279,308,11534,5587,0,0,0,2,0
3264,3167,78,6836,3245,0,1,0,1,1
6421,6137,514,14336,6651,1,1,0,2,1
6358,5777,654,14112,6431,0,0,0,0,0
6235,5086,556,13253,5642,1,1,0,3,1
5617,5014,601,12425,5615,2,0,0,2,0
7211,6616,573,15656,7189,0,0,0,0,0
4304,4461,227,9453,4688,0,0,0,1,0
2506,2741,36,5507,2777,0,0,0,0,0
980,940,32,2046,972,0,0,0,1,0
5278,6923,613,13770,7536,1,0,0,1,0
5389,5553,529,12485,6082,0,0,0,0,0
5152,5149,447,11857,5596,0,0,0,1,0
7136,6972,791,16083,7763,0,2,0,2,2
4122,4670,304,9545,4974,0,1,0,2,1
2471,2812,48,5562,2860,0,1,0,2,1
4944,5916,477,12305,6393,0,0,0,0,0
4913,5773,529,12007,6302,0,1,0,1,1
4707,5957,696,12182,6653,0,1,0,2,1
4145,5843,533,11381,6376,0,2,0,2,2
5208,7279,504,13858,7783,0,0,0,0,0
3189,4851,215,8700,5066,1,0,0,1,0
1756,2944,17,4939,2961,0,0,0,0,0
3852,5978,401,11397,6379,0,1,0,1,1
3702,5401,442,10659,5843,1,0,0,1,0
3628,5316,353,10208,5669,0,1,0,1,1
3400,4790,325,9961,5115,0,1,0,1,1
4367,6450,413,17257,6863,1,0,0,1,0
2760,3709,191,13433,3900,0,0,0,1,0
1569,2397,3,7363,2400,0,1,0,4,1
3766,2792,233,20507,3025,0,0,0,1,0
3792,4390,307,22706,4697,0,1,0,3,1
3579,4420,384,21726,4804,2,4,0,17,4
3701,4600,279,21698,4879,5,3,0,48,3
4051,5538,370,22821,5908,6,6,0,59,6
2305,3432,168,11223,3600,4,3,0,23,3
1378,2217,44,5922,2261,0,0,0,0,0
3238,3546,186,17119,3732,3,5,1,51,6
3093,3842,288,18875,4130,3,4,0,44,4
3022,3743,309,18157,4052,1,4,0,34,4
3069,3494,329,18743,3823,5,2,0,56,2
3502,4640,273,19431,4913,4,3,0,33,3
1942,2672,131,9732,2803,3,3,0,29,3
1126,1681,13,4628,1694,0,0,0,0,0
2727,3367,135,15274,3502,1,4,0,48,4
2792,3281,253,15435,3534,1,4,0,36,4
2624,3071,322,14603,3393,2,3,0,41,3
2650,2938,369,14935,3307,3,6,0,30,6
3004,3910,364,15563,4274,4,1,0,39,1
1683,2214,157,8099,2371,5,4,0,35,4
800,1172,9,3087,1181,0,0,0,0,0
2731,2922,174,13455,3096,4,3,0,38,3
2237,2469,218,11385,2687,2,3,0,33,3
2447,2509,276,12347,2785,4,4,0,29,4
2463,2600,262,13070,2862,1,3,0,30,3
3592,3220,323,21145,3543,3,6,1,45,7
2294,1902,154,14061,2056,3,3,0,15,3
1117,1069,28,6274,1097,0,1,0,1,1
3818,2395,201,26139,2596,2,1,1,27,2
3580,2353,345,26772,2698,3,1,0,34,1
3571,2346,361,26885,2707,2,2,0,29,2
3414,2398,322,27473,2720,0,3,5,47,8
4004,2826,390,29183,3216,4,3,1,39,4
2001,1578,214,12567,1792,0,3,0,16,3
1021,832,67,5394,899,3,0,0,3,0
3135,2117,221,20640,2338,6,1,0,39,1
3067,2024,284,22686,2308,5,3,0,52,3
4311,1860,317,22756,2177,4,1,0,32,1
4791,2074,303,24340,2377,11,1,0,38,1
6444,2711,470,29067,3181,4,4,0,43,4
5206,1665,256,16311,1921,2,2,0,12,2
2157,805,91,7350,896,1,0,0,1,0
5933,1940,273,21039,2213,3,11,0,36,11
6875,1777,285,24015,2062,11,3,0,100,3
7477,1895,370,26644,2265,16,5,0,65,5
5989,1685,216,20165,1901,6,5,0,45,5
8895,2389,461,31671,2850,7,7,0,89,7
7036,1365,189,18141,1554,10,2,0,30,2
2277,637,52,6899,689,0,0,0,0,0
5716,1912,271,23800,2183,14,2,0,44,2
5007,1451,243,20877,1694,26,4,0,75,4
6295,1867,372,27932,2239,17,3,0,50,3
6385,1776,372,29178,2148,13,1,0,63,1
7070,2303,396,32674,2699,36,6,1,116,7
6481,1882,208,21532,2090,17,7,0,83,7
2313,669,85,10431,754,5,3,0,14,3
5630,2045,236,28084,2281,31,7,1,117,8
6325,2262,340,31298,2602,16,4,0,49,4
5754,2208,370,25291,2578,20,4,0,50,4
98,28,20,588,48,0,0,0,0,0
3662,2022,183,18621,2205,17,13,0,97,13
2509,2219,93,13247,2312,5,3,2,46,5
1561,1467,88,9000,1555,6,6,0,20,6
4152,5291,289,27433,5580,382,449,7,2182,456
3395,3836,353,24494,4189,357,242,37,3005,279
3282,3541,263,24231,3804,3280,3537,263,24222,3800
3,0,0,14,0,3,0,0,14,0
