county_name,age_group,administered_count,administered_count_display,persons_fully_vaccinated,persons_fully_vaccinated_display,population_administered,population_fully_vaccinated,report_date,total_administered_population,total_population_fully_vaccinated,sort_administered_population,sort_population_fully_vaccinated,administered_count_pct,persons_fully_vaccinated_pct
Scott,65+,1277,1277,638,638,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.42397078353253653,0.42363877822045154
Stark,16-64,2247,2247,1143,1143,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5314569536423841,0.5368717707844058
Stark,65+,1881,1881,944,944,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.4448912015137181,0.443400657585721
Macoupin,16-64,20821,20821,10435,10435,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5825522509163146,0.5842992328797805
Macoupin,65+,14262,14262,7142,7142,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.39903751993508857,0.399910409317431
Coles,16-64,19491,19491,10276,10276,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.6000738893506973,0.6149611011370437
Coles,65+,12491,12491,6249,6249,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.3845632831501493,0.373967684021544
Washington,16-64,6465,6465,3458,3458,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5951942552016203,0.6039119804400978
Washington,65+,4236,4236,2209,2209,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.3899834284662125,0.38578414250785886
Iroquois,16-64,10367,10367,5269,5269,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5601361573373677,0.5637102813737028
Iroquois,65+,7894,7894,3987,3987,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.42651826237302787,0.42655397453728466
Saline,16-64,8024,8024,4234,4234,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5492880613362541,0.5557159732248327
Saline,65+,6409,6409,3315,3315,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.43873220153340636,0.43509646935293345
Hardin,16-64,879,879,436,436,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.44915687276443533,0.45275181723779856
